shipper_id,shipper_name
3baa7ad4a89b787da9404009f83d52a2,SHIPPER 1570
59f90eb4d9c1b45e87afeaf944b6bcf0,SHIPPER 1262
123d540cfc0504b14f3d9892c996dd25,SHIPPER 901
37537b5278676afba98d673643ad4890,SHIPPER 1342
60ff97395e9b4c32d80689cd83249f73,SHIPPER 1303
9f7b541f85125423373000a0426d58db,SHIPPER 860
d992bb9173d48665b761e785900bdbb6,SHIPPER 734
afdaf2def36ac6d6daee357319e9e0cd,SHIPPER 1585
7f6a4df4fd14663f7fbc3bdf4939299f,SHIPPER 923
8cec68fbaf66c210ac48047c142c6942,SHIPPER 590
8c6d46ced5ceec07076870820ad18df9,SHIPPER 944
e7cbc988cb4bb0d6df4aa21ae7e0c9c7,SHIPPER 1173
fe4b991ec461b0ae7f7a1e6b63807fa4,SHIPPER 948
e0887db3b38848581733baf51266af5f,SHIPPER 943
22b5e4734d421e242ae4545f91d1474f,SHIPPER 1536
0fae7d7a8156ecc12edc9ff70a211af9,SHIPPER 840
17f920e9d4d04287beaebaf0244c7b95,SHIPPER 1249
cd0476e25d91ece27896a55c9535c0da,SHIPPER 1511
bb172dde180461d89c801d9723f9b4d2,SHIPPER 973
0a6890b2805982da36cb5285258d1812,SHIPPER 1374
9648857d6e35d1b8ed579168906d202c,SHIPPER 1517
5974d11f81622e8121c802e49fe5832c,SHIPPER 398
8332c47d87e89923c73183c16989ea41,SHIPPER 705
cffe226143b8a8d2eb218e64966735d5,SHIPPER 1397
4b821cf59fb63c44418469cd65567397,SHIPPER 1642
7c8daf27f2407c4b0531266ae264a3a0,SHIPPER 758
49ba4b21786181a3b9fd5a745a89ff35,SHIPPER 1404
d9e1f54b35b4067fab4e6fce6c5954cd,SHIPPER 989
397d1ca827eb3a562e3fb3da9674a91d,SHIPPER 623
ece937729cda19a302a7f7ae5b5a3c92,SHIPPER 882
0ca9f57f17d9c84150de2126422ef343,SHIPPER 1175
8a2ef8c0a85c9ec941da8d60d29aabcd,SHIPPER 1490
ad88ff33ec5ade8febbc154a4e32d319,SHIPPER 560
40a53b53bb3d43e16b16fdeab1b99036,SHIPPER 1345
9aa114d88ff192d20017152cf04ec91b,SHIPPER 765
23d6fb17924c170981f38ecbb7ccc139,SHIPPER 1453
61fc617afa4025598ccafe59dad096bc,SHIPPER 832
70a85b6f6929ec13f18fe64ddfd68aed,SHIPPER 1298
1a352592cebac4f17ac5cc05004d4e35,SHIPPER 1044
996b19e3cea3d4605334d0e5a7d0dc38,SHIPPER 715
1e7b69151b6edcd40f2ba039c27872dd,SHIPPER 425
f873785bba806d609eef657e9309c0cf,SHIPPER 937
ca745632e4a087f9af8b1bbb1421b154,SHIPPER 1104
c91f933ea9d67f4e7fb8969a24bb3abe,SHIPPER 811
70b281e350a492b1d7f0b51bda333ec8,SHIPPER 824
0dd03ecc418afa7405a89a66876154bc,SHIPPER 1528
cca6d63fe48f88b06cadb0bfc108f5de,SHIPPER 1357
75b5a8f142806b1dc7d4d78207971d8f,SHIPPER 766
1363698f50cd6ca7680ca1d4a40b8d41,SHIPPER 1070
